Date,KBANKOpen,KBANKHigh,KBANKLow,KBANKClose,KBANKVolume,KBANKAdjusted
5/1/2015,226,227,220,220,8257400,189.366287
6/1/2015,214,215,205,214,14103900,184.201767
7/1/2015,215,219,214,218,8669900,187.644775
8/1/2015,223,228,222,228,8947000,196.252335
9/1/2015,230,231,227,229,6858000,197.113113
12/1/2015,227,229,225,227,3171300,195.391556
13/1/2015,224,227,224,226,6364100,194.530807
14/1/2015,226,228,223,224,7296200,192.809311
15/1/2015,226,229,224,226,6941600,194.530807
16/1/2015,225,228,223,225,8303000,193.670044
19/1/2015,225,226,222,224,6662800,192.809311
20/1/2015,224,226,222,222,5589800,191.087799
21/1/2015,222,223,220,222,5924400,191.087799
22/1/2015,225,228,222,228,8420300,196.252335
23/1/2015,232,235,231,235,12648100,202.277649
26/1/2015,233,234,231,232,9320000,199.695358
27/1/2015,232,233,231,232,7363900,199.695358
28/1/2015,231,232,229,232,7670700,199.695358
29/1/2015,231,232,226,226,7761100,194.530807
30/1/2015,223,225,221,222,10344000,191.087799
2/2/2015,219,222,219,221,5663000,190.227036
3/2/2015,222,228,222,226,6662500,194.530807
4/2/2015,229,229,224,224,6389400,192.809311
5/2/2015,223,227,223,227,4397600,195.391556
6/2/2015,227,228,224,225,3118100,193.670044
9/2/2015,225,226,222,222,4446800,191.087799
10/2/2015,222,225,222,223,3403900,191.948547
11/2/2015,224,228,223,227,4229000,195.391556
12/2/2015,228,228,223,225,5629200,193.670044
13/2/2015,225,226,223,225,3294700,193.670044
16/2/2015,224,226,223,224,2545900,192.809311
17/2/2015,223,224,220,221,3923900,190.227036
18/2/2015,221,223,220,222,3023800,191.087799
19/2/2015,223,223,221,222,1501400,191.087799
20/2/2015,222,222,220,220,3012700,189.366287
23/2/2015,220,221,215,217,5577200,186.784042
24/2/2015,219,223,218,221,5925300,190.227036
25/2/2015,222,223,218,219,4325800,188.505524
26/2/2015,219,220,215,216,6595500,185.923264
27/2/2015,216,218,216,217,5483000,186.784042
2/3/2015,217,218,216,218,3929400,187.644775
3/3/2015,220,225,220,223,9276200,191.948547
5/3/2015,228,228,225,228,10042300,196.252335
6/3/2015,228,229,226,229,4733700,197.113113
9/3/2015,227,229,226,228,2652300,196.252335
10/3/2015,229,229,224,224,5873200,192.809311
11/3/2015,224,229,223,227,6686400,195.391556
12/3/2015,227,228,225,225,3638900,193.670044
13/3/2015,225,227,223,224,3749900,192.809311
16/3/2015,223,225,220,221,4328600,190.227036
17/3/2015,223,224,220,221,2863700,190.227036
18/3/2015,222,228,221,226,4597600,194.530807
19/3/2015,228,231,226,230,8605100,197.973877
20/3/2015,230,231,227,228,5226100,196.252335
23/3/2015,230,230,225,227,3796100,195.391556
24/3/2015,226,227,223,225,6624600,193.670044
25/3/2015,225,228,225,226,5065200,194.530807
26/3/2015,224,227,222,224,4982300,192.809311
27/3/2015,225,229,224,226,3994500,194.530807
30/3/2015,229,230,227,227,5097200,195.391556
31/3/2015,229,230,226,229,4350900,197.113113
1/4/2015,229,230,227,230,1897900,197.973877
2/4/2015,230,232,228,231,4403800,198.834595
3/4/2015,231,233,230,231,2046400,198.834595
7/4/2015,232,235,231,233,3667100,200.556107
8/4/2015,233,236,232,234,5491700,201.416885
9/4/2015,232,234,231,233,4218200,203.601425
10/4/2015,234,234,230,234,4688300,204.475296
16/4/2015,231,235,227,234,6878000,204.475296
17/4/2015,234,236,232,234,7265200,204.475296
20/4/2015,234,234,229,233,8808000,203.601425
21/4/2015,233,234,229,232,7470900,202.727615
22/4/2015,232,232,225,226,9854600,197.484634
23/4/2015,225,225,220,221,12664100,193.115524
24/4/2015,221,224,221,223,6960100,194.863144
27/4/2015,221,223,216,216,12100500,188.746384
28/4/2015,214,216,210,210,18252900,183.503433
29/4/2015,208,214,208,210,9083700,183.503433
30/4/2015,209,210,207,210,5999800,183.503433
4/5/2015,210,210,210,210,0,183.503433
6/5/2015,210,210,200,201,15561200,175.639008
7/5/2015,201,206,201,202,9146700,176.512817
8/5/2015,203,209,202,208,10202100,181.755783
11/5/2015,210,213,209,211,10363900,184.377289
12/5/2015,210,211,207,208,8953800,181.755783
13/5/2015,208,211,208,208,3376900,181.755783
14/5/2015,210,210,206,207,4533600,180.881958
15/5/2015,207,209,205,208,3901300,181.755783
18/5/2015,208,208,205,206,6037400,180.008102
19/5/2015,206,208,205,208,5639900,181.755783
20/5/2015,207,209,201,201,11485200,175.639008
21/5/2015,202,203,199,199.5,10995000,174.328247
22/5/2015,200,202,200,200,5576200,174.765182
25/5/2015,200,201,199,199.5,2688200,174.328247
26/5/2015,200,200,197,199.5,6819100,174.328247
27/5/2015,197,198.5,196.5,197.5,7298200,172.580597
28/5/2015,197.5,197.5,196,196,5884800,171.269852
29/5/2015,196.5,196.5,195,195,7577300,170.396057
2/6/2015,193.5,194,190.5,192.5,8306100,168.211472
3/6/2015,193.5,196,193,195,8444400,170.396057
4/6/2015,195.5,201,194,199,7684600,173.891342
5/6/2015,200,204,199.5,203,4983800,177.386627
8/6/2015,203,203,200,202,4228500,176.512817
9/6/2015,201,202,200,200,4687700,174.765182
10/6/2015,200,203,200,200,4347200,174.765182
11/6/2015,202,205,202,205,4877300,179.134308
12/6/2015,205,205,203,204,2998200,178.260483
15/6/2015,204,204,200,200,2908400,174.765182
16/6/2015,200,202,199,200,4794600,174.765182
17/6/2015,200,201,199,199,5264300,173.891342
18/6/2015,199,201,199,200,7067900,174.765182
19/6/2015,200,201,197,197,3898600,172.143723
22/6/2015,199,202,198.5,200,3186000,174.765182
23/6/2015,201,202,197.5,199.5,10660300,174.328247
24/6/2015,199,201,198.5,199,4134300,173.891342
25/6/2015,199.5,199.5,198,198.5,6245300,173.454437
26/6/2015,199,202,198.5,200,7303500,174.765182
29/6/2015,199,199,195,195.5,10368700,170.832947
30/6/2015,195.5,196,189,189,21352100,165.153076
2/7/2015,184,184,179,179,38836000,156.414856
3/7/2015,178.5,183,178.5,180.5,18331100,157.725571
6/7/2015,178,179.5,178,179,9556700,156.414856
7/7/2015,180,183,179.5,182,10646200,159.036301
8/7/2015,180,182.5,179,181.5,10140700,158.59938
9/7/2015,182,183.5,180.5,183,8197300,159.910126
10/7/2015,186,188,185.5,187,9294600,163.405441
13/7/2015,188,192.5,187,191.5,12598700,167.337646
14/7/2015,191,191.5,188.5,189.5,6219000,165.589981
15/7/2015,188,190,187.5,190,3411100,166.026917
